Pixel 7a product line matrix (lynx)
Android      Build Number            Release Date      CFG Version                             CFG SHA-256 Hash                                                      it_iliad_2124_hash
12.0.0       SQ1D.220205.003         Feb 2022          cfgdb-wc-211223-B-8025189               810659bcda157c0b909ef344b423aaacca94fcea9f4f80d8ba6632339caaafb7      298dd4caed820e9be0d0009816c5fe83f5ceab28
12.0.0       SQ1D.220205.004         Feb 2022          cfgdb-whi-220211-B-8174161              dfacdfc652f2407b04a9772af126b49112a49980e46c775823921dd9d2a8c4d4      b7bcdffc7475e6d00dda1cff7bf57b82be03a40b
12.1.0       SP2A.220305.013.A3      Mar 2022          cfgdb-whi-220211-B-8174161              dfacdfc652f2407b04a9772af126b49112a49980e46c775823921dd9d2a8c4d4      b7bcdffc7475e6d00dda1cff7bf57b82be03a40b
12.1.0       SP2A.220405.004         Apr 2022          cfgdb-whi-220211-B-8174161              dfacdfc652f2407b04a9772af126b49112a49980e46c775823921dd9d2a8c4d4      b7bcdffc7475e6d00dda1cff7bf57b82be03a40b
12.1.0       SP2A.220505.002         May 2022          ?                                       ?                                                                     ?
12.1.0       SQ3A.220605.009.B1      Jun 2022          ?                                       ?                                                                     ?
12.1.0       SQ3A.220705.003         Jul 2022          ?                                       ?                                                                     ?
12.1.0       SQ3A.220705.004         Jul 2022          ?                                       ?                                                                     ?
13.0.0       TP1A.220624.021         Aug 2022          ?                                       ?                                                                     ?
13.0.0       TP1A.220905.004         Sep 2022          cfgdb-whi-220727-B-8875237              6ecc715d2ea0e95ee0bd5a2ba6c70f4be8f6c88dd63cab4202c809c65547447f      b2e59690a19dc17b37ca331e2db59903591a6a22
13.0.0       TP1A.221005.002         Oct 2022          cfgdb-whi-220727-B-8875237              6ecc715d2ea0e95ee0bd5a2ba6c70f4be8f6c88dd63cab4202c809c65547447f      b2e59690a19dc17b37ca331e2db59903591a6a22
13.0.0       TP1A.221105.002         Nov 2022          cfgdb-whi-220727-B-8875237              6ecc715d2ea0e95ee0bd5a2ba6c70f4be8f6c88dd63cab4202c809c65547447f      b2e59690a19dc17b37ca331e2db59903591a6a22
13.0.0       TQ1A.221205.011         Dec 2022          cfgdb-whi-221101-B-9242015              1c623e91b285306015b4387d92d26dd3d1f7d78efe1506c42d6f3e6375c00dd0      c7dead7b478f240cf3e3ac42873af315b6d715df
13.0.0       TQ1A.230105.002         Jan 2023          cfgdb-whi-221101-B-9242015              1c623e91b285306015b4387d92d26dd3d1f7d78efe1506c42d6f3e6375c00dd0      c7dead7b478f240cf3e3ac42873af315b6d715df
13.0.0       TQ1A.230205.002         Feb 2023          cfgdb-whi-221101-B-9242015              1c623e91b285306015b4387d92d26dd3d1f7d78efe1506c42d6f3e6375c00dd0      c7dead7b478f240cf3e3ac42873af315b6d715df
13.0.0       TQ2A.230305.008.E1      Mar 2023          cfgdb-whi-230302-B-9675756              772122dfaa7ae641a6386c375d06ea6d3e9c159fce3c57f35d9277199debc268      d09a227525324ae85e72e29b864e69a2de2fa448
13.0.0       TQ2A.230405.003.E1      Apr 2023          cfgdb-whi-230323-B-9800744              807a9cf915679cd08b799346537c7ea6277bb9b4e45f437e75b90363bc36b390      2ad9755505952d4253580d075076c2c2669dbe60
13.0.0       TQ2A.230505.002         May 2023          cfgdb-whi-230323-B-9800744              807a9cf915679cd08b799346537c7ea6277bb9b4e45f437e75b90363bc36b390      2ad9755505952d4253580d075076c2c2669dbe60
13.0.0       TQ3A.230605.010         Jun 2023          cfgdb-whi-230428-B-10034304             abd9876f2c0d27bab0478cf9f79a055b380d52a7f0fa82c348e59a919b4925e5      a282d508fe77e0f64a2374e569baed9b1e0f5fea
13.0.0       TQ3A.230705.001         Jul 2023          cfgdb-whi-230428-B-10034304             abd9876f2c0d27bab0478cf9f79a055b380d52a7f0fa82c348e59a919b4925e5      a282d508fe77e0f64a2374e569baed9b1e0f5fea
13.0.0       TQ3A.230805.001         Aug 2023          cfgdb-whi-230428-B-10034304             abd9876f2c0d27bab0478cf9f79a055b380d52a7f0fa82c348e59a919b4925e5      a282d508fe77e0f64a2374e569baed9b1e0f5fea
13.0.0       TQ3A.230901.001         Sep 2023          cfgdb-whi-230428-B-10034304             abd9876f2c0d27bab0478cf9f79a055b380d52a7f0fa82c348e59a919b4925e5      a282d508fe77e0f64a2374e569baed9b1e0f5fea
14.0.0       UP1A.231005.007         Oct 2023          cfgdb-whi-230818-B-10678034             64bc6888cc9b160051b92cf4ae66ca4c0f5b2ed0588d31ca9b63012560364e99      128b4281b0f06f16921dc1e37dc1e76c9a9c6c49
